Houlton,1622,94
Bangor,1563,133
Reading,1513,216
Boston,1530,233
Concord,1494,197
St. Johnsbury,1458,161
Derby Line,1458,123
Highgate Springs,1434,123
Champlain,1410,123
White River Jct.,1458,197
Weston,1511,233
Sturbridge,1482,233
Springfield MA,1458,233
Albany,1410,234
Newburgh,1410,301
Hartford,1458,270
Canton,1511,259
Canton,1521,259
Providence,1491,289
New Haven,1458,322
New York,1410,354
Schenectady,1376,233
Teaneck,1376,354
Teaneck,1385,362
Newark,1376,387
Wellesley Island,1314,156
Syracuse,1314,234
Binghamton,1314,267
Dunmore,1314,301
Hazleton,1314,354
Union Twp.,1314,388
Philadelphia,1347,436
Bellmawr,1367,436
Harrisburg,1308,417
Harrisburg,1314,423
Baltimore,1314,470
Glen Burnie-Annapolis,1314,496
Elmira,1261,267
Bellefonte,1270,354
Carlisle,1290,436
Washington DC,1295,503
Richmond,1295,522
Chesapeake,1318,531
Petersburg,1295,561
Benson,1295,595
Wilmington,1319,604
Florence,1295,662
Bowman,1295,705
Charleston SC,1309,719
Hancock,1258,448
Middletown,1261,503
Staunton,1250,525
Greensboro,1258,592
Candor,1277,610
Columbia SC,1251,662
Savannah,1273,732
Jacksonville,1247,758
Daytona Beach,1232,811
Miami,1232,869
Hialeah,1222,857
Orlando,1198,812
Tampa,1160,811
Lake City,1160,758
Augusta,1167,662
Spartanburg,1218,628
Charlotte,1242,614
Statesville,1222,595
Mt. Airy,1217,566
Mt. Airy West,1193,566
Wytheville,1179,551
Lexington VA,1218,525
Bedford,1237,438
Buffalo NY,1184,243
Erie,1160,267
Mercer,1179,354
Pittsburgh,1185,434
Morgantown,1179,464
Kingsport,1160,570
Asheville,1184,595
Macon,1131,710
Dandridge,1136,595
Charleston WV,1142,524
Cambridge,1131,441
North Jackson,1160,354
Richfield,1121,354
Akron,1131,378
Greenville,1157,629
Tallahassee,1083,758
Atlanta,1083,662
Columbus,1068,441
Seville,1097,378
Strongsville,1097,354
Cleveland,1097,330
Port Huron,1083,226
Sault Ste. Marie,1025,113
Saginaw,1025,185
Flint,1025,224
Detroit,1025,277
Toledo,1025,352
Dayton,1025,441
Cincinnati,1025,484
Lexington KY,1025,523
Knoxville,1025,594
Chattanooga,1049,628
Mobile,967,758
Montgomery,967,710
Birmingham,967,662
Wildwood,1002,627
Nashville,967,594
Louisville,967,522
Indianapolis,967,441
Angola,996,351
Marshall,996,306
Lansing,996,277
Muskegon,977,277
Gary,959,343
Gary,967,352
Green Bay,919,171
Sheboygan,919,209
Milwaukee,914,257
Chicago,919,303
Country Club Hills,905,354
Champaign,905,421
Effingham,905,478
Mt. Vernon,905,522
Goreville,901,553
Goreville,906,559
Meridian,937,689
Slidell,914,768
New Orleans,902,784
LaPlace,876,787
Hammond,876,758
Jackson,876,696
Memphis,876,595
Miner,876,558
St. Louis,876,522
St. Louis,876,507
Springfield IL,876,450
Hannibal,832,469
Normal,876,407
Joliet,876,354
Hillside,890,316
Rochelle,870,315
Beloit,884,287
Beloit,894,278
Madison,861,246
LaSalle,842,354
Wentzville,853,522
Baton Rouge,837,768
Lafayette,789,758
Shreveport,789,696
Little Rock,789,594
Springfield MO,808,559
Columbia MO,775,523
Silvis,808,354
Davenport,779,354
Portage,837,218
Stevens Point,837,171
Rothschild,837,133
Eau Claire,769,147
La Crosse,765,186
Duluth,717,79
St. Paul,725,113
Minneapolis,709,113
Albert Lea,717,185
Des Moines,717,354
Kansas City,693,522
Tulsa,741,559
Texarkana,741,642
Houston,749,758
Galveston,781,791
Corpus Christi,745,825
Laredo,649,825
San Antonio,678,758
Austin,678,734
Dallas,686,693
Ft. Worth,670,693
Ardmore,678,642
Oklahoma City,678,595
Wichita,678,551
Topeka,649,523
Omaha,669,354
Sioux City,669,269
Sioux Falls,669,185
Fargo,669,113
Grand Forks,669,79
Pembina,669,46
Bismarck,572,114
Rapid City,572,186
Big Springs,548,354
Amarillo,582,594
Lubbock,582,628
Wichita Falls,626,647
Abilene,630,696
Midland,582,695
Kent,527,727
El Paso,510,710
Las Cruces,486,696
Albuquerque,486,595
Santa Fe,486,560
Pueblo,486,503
Colorado Springs,486,474
Denver,486,441
Welby,486,416
Cheyenne,486,354
Casper,486,269
Buffalo WY,486,186
Billings,440,149
Gallup,433,595
Arvada,462,440
Tucson,442,696
Nogales,442,715
Casa Grande,399,666
Phoenix,351,633
Flagstaff,351,594
Yuma,307,667
Barstow,288,594
Las Vegas,326,557
St. George,365,518
Cove Fort,380,440
Provo,380,387
Echo,404,354
Salt Lake City,380,354
Ogden,382,325
Tremonton,380,301
Pocatello,380,252
Idaho Falls,380,185
Butte,380,113
Helena,380,79
Sweet Grass,380,46
Missoula,322,113
Boise,293,214
Declo,331,252
Spokane,245,113
Yakima,204,149
Hermiston,240,185
Elko,271,353
Palm Springs,288,633
Ontario,250,633
San Ysidro,226,700
San Diego,216,667
Los Angeles,197,633
Santa Monica,183,633
Stockton,105,421
Sacramento,105,387
Reno,163,354
San Francisco,72,420
Redding,105,310
Eugene,105,243
Salem,105,214
Portland,105,185
The Dalles,168,185
Tacoma,105,132
Ellensburg,168,113
Seattle,105,113
Bellingham,105,79
Blaine,105,46
Tomah,813,194
